Linux 3.10.0-693.47.2.el7.x86_64 (skudupud.pnq.csb) 	08/30/2019 	_x86_64_	(4 CPU)

02:32:58 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:32:58 PM 113248      9857    0.00    0.00    0.00    0.00     3  bluejeans-bin
02:32:58 PM 113248      9861    0.00    0.00    0.00    0.00     3  bluejeans-bin
02:32:58 PM 113248      9862    0.00    0.00    0.00    0.00     1  bluejeans-bin
02:32:58 PM 113248      9882    0.00    0.00    0.00    0.00     0  bluejeans-bin
02:32:58 PM 113248      9899    0.00    0.00    0.00    0.00     0  exe
02:32:58 PM 113248      9947    0.05    0.00    0.00    0.06     2  exe
02:32:58 PM     0     10087    0.00    0.00    0.00    0.00     0  kworker/0:2
02:32:58 PM     0     10161    0.00    0.00    0.00    0.00     1  kworker/1:1
02:32:58 PM     0     10219    0.00    0.00    0.00    0.00     3  kworker/u16:5
02:32:58 PM     0     10927    0.00    0.00    0.00    0.00     0  sudo
02:32:58 PM     0     10928    0.00    0.00    0.00    0.00     3  su
02:32:58 PM     0     10932    0.00    0.00    0.00    0.00     1  bash
02:32:58 PM     0     11015    0.00    0.00    0.00    0.00     3  strace
02:32:58 PM     0     11017    0.00    0.00    0.00    0.00     1  pidstat
02:32:58 PM 113248     13285    0.00    0.00    0.00    0.00     2  chrome
02:32:58 PM 113248     13318    0.00    0.00    0.00    0.00     1  chrome
02:32:58 PM 113248     13909    0.00    0.00    0.00    0.00     0  chrome
02:32:58 PM 113248     13955    0.00    0.00    0.00    0.00     2  chrome
02:32:58 PM 113248     14104    0.00    0.00    0.00    0.00     2  chrome
02:32:58 PM     0     14890    0.00    0.00    0.00    0.00     1  kworker/u16:2
02:32:58 PM     0     15165    0.00    0.00    0.00    0.00     3  certmonger
02:32:58 PM    32     15795    0.00    0.00    0.00    0.00     1  rpcbind
02:32:58 PM     0     16029    0.00    0.00    0.00    0.00     3  rhsmd
02:32:58 PM 113248     17588    0.01    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248     17661    0.04    0.00    0.00    0.04     2  chrome
02:32:58 PM 113248     18266    0.00    0.00    0.00    0.00     2  python3.6
02:32:58 PM 113248     19190    0.00    0.00    0.00    0.01     0  chrome
02:32:58 PM 113248     20405    0.00    0.00    0.00    0.00     3  chrome
02:32:58 PM 113248     20594    0.00    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248     20611    0.00    0.00    0.00    0.00     0  chrome
02:32:58 PM 113248     20998    0.00    0.00    0.00    0.00     2  gvfsd-network
02:32:58 PM 113248     21016    0.00    0.00    0.00    0.00     0  gvfsd-dnssd
02:32:58 PM 113248     23640    0.05    0.01    0.00    0.06     2  chrome
02:32:58 PM 113248     24118    0.00    0.00    0.00    0.00     2  xchat
02:32:58 PM     0     24760    0.00    0.00    0.00    0.00     0  kworker/u16:4
02:32:58 PM 113248     24771    0.02    0.00    0.00    0.02     0  chrome
02:32:58 PM 113248     24852    0.02    0.00    0.00    0.02     0  chrome
02:32:58 PM 113248     25176    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM 113248     25261    0.01    0.00    0.00    0.01     0  chrome
02:32:58 PM 113248     26246    0.04    0.00    0.00    0.05     3  chrome
02:32:58 PM     0     26523    0.00    0.00    0.00    0.00     3  kworker/u16:0
02:32:58 PM 113248     28868    0.00    0.00    0.00    0.00     3  chrome
02:32:58 PM 113248     30209    0.01    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248     30328    0.00    0.00    0.00    0.01     3  chrome
02:32:58 PM 113248     30591    0.00    0.00    0.00    0.01     2  chrome
02:32:58 PM     0     32039    0.00    0.00    0.00    0.00     2  kworker/2:1
